Followers,Name,Team,Nationality,
"501,604",Josh Giddey,Oklahoma City Thunder,Australia,
"501,306",Darius Garland,Cleveland Cavaliers,United States,
"493,476",Tim Hardaway Jr.,Dallas Mavericks,United States,
"491,811",R.J. Hampton,Sioux Falls Skyforce,United States,
"487,837",Jalen Suggs,Orlando Magic,United States,
"487,371",Jae Crowder,Milwaukee Bucks,United States,
"480,917",Deandre Ayton,Portland Trail Blazers,Bahamas,
"480,007","Scotty Pippen, Jr.",Los Angeles Lakers,United States,
"454,200",Lonnie Walker,Brooklyn Nets,United States,
"446,373",Kevon Looney,Golden State Warriors,United States,
"445,978",Lauri Markkanen,Utah Jazz,Finland,
"438,497",Alperen Sengun,Houston Rockets,Turkey,
"438,113","Larry Nance, Jr.",New Orleans Pelicans,United States,
"433,846",Tyrese Haliburton,Indiana Pacers,United States,
"431,713",Danilo Gallinari,Washington Wizards,Italy,
"429,290",Mikal Bridges,Brooklyn Nets,United States,
"419,222",Jarred Vanderbilt,Los Angeles Lakers,United States,
"415,401",Furkan Korkmaz,Philadelphia Sixers,Turkey,
"415,359",Jusuf Nurkic,Phoenix Suns,Bosnia and Herzegovina,
"411,194",Tyus Jones,Washington Wizards,United States,
"410,507",Gradey Dick,Toronto Raptors,United States,
"410,135",Khris Middleton,Milwaukee Bucks,United States,
"409,192",Derrick Jones,Dallas Mavericks,United States,
"406,223",Taj Gibson,Washington Wizards,United States,
"404,468",Jonathan Isaac,Orlando Magic,United States,
"394,362",Coby White,Chicago Bulls,United States,
"375,269",Grayson Allen,Phoenix Suns,United States,
"372,182",Jaden Hardy,Dallas Mavericks,United States,
"363,572",Chris Duarte,Sacramento Kings,Canada / Dominican Republic,
"353,717",Bones Hyland,Los Angeles Clippers,United States,
"352,642",J.D. Davison,Maine Celtics,United States,
"351,985",Jeremy Sochan,San Antonio Spurs,United States / Poland,
"340,165",Talen Horton-Tucker,Utah Jazz,United States,
"323,377",Jalen Brunson,New York Knicks,United States,
"322,836",Amen Thompson,Houston Rockets,United States,
"321,661",Marcus Morris,Los Angeles Clippers,United States,
"316,514",Spencer Dinwiddie,Brooklyn Nets,United States,
"313,056",Ausar Thompson,Detroit Pistons,United States,
"305,746",Norman Powell,Los Angeles Clippers,United States,
"305,316",Domantas Sabonis,Sacramento Kings,United States / Lithuania,
"305,185",Grant Williams,Dallas Mavericks,United States,
"303,693",Jaxson Hayes,Los Angeles Lakers,United States,
"303,647",Payton Pritchard,Boston Celtics,United States,
"303,370",Obi Toppin,Indiana Pacers,United States,
"300,646",Tre Jones,San Antonio Spurs,United States,
"296,803",Bobby Portis,Milwaukee Bucks,United States,
"294,833",Evan Fournier,New York Knicks,France,
"283,452",Nicolas Batum,N/A,France,
"279,052",Robert Williams,Portland Trail Blazers,United States,
"272,329",Jarrett Allen,Cleveland Cavaliers,United States,
"269,949","Gary Trent, Jr.",Toronto Raptors,United States,
"269,856",Josh Richardson,Miami Heat,United States,
"267,834",Jonas Valanciunas,New Orleans Pelicans,Lithuania,
"267,550",Myles Turner,Indiana Pacers,United States,
"267,425",Justin Holiday,Denver Nuggets,United States,
"263,369",Cameron Johnson,Brooklyn Nets,United States,
"254,166",Immanuel Quickley,New York Knicks,United States,
"252,428",Derrick White,Boston Celtics,United States,
"251,652",Caris LeVert,Cleveland Cavaliers,United States,
"251,565",Eric Gordon,Phoenix Suns,United States / Bahamas,
"249,673",Harry Giles,Brooklyn Nets,United States,
"249,233",Devonte' Graham,San Antonio Spurs,United States,
"247,344",Doug McDermott,San Antonio Spurs,United States,
"246,115",Caleb Martin,Miami Heat,United States,
"243,364",Desmond Bane,Memphis Grizzlies,United States,
"242,561",Robert Covington,Los Angeles Clippers,United States,
"239,992",Christian Wood,Los Angeles Lakers,United States,
